_system_object_id;Objekttitel;objektgeschichte[].ereignis_typ#ubmz_event_id;Ereignistyp;objektgeschichte[].datum_ereignis;objektgeschichte[].datum_normiert_ereignis#from;objektgeschichte[].datum_normiert_ereignis#to;objektgeschichte[].unsicher_datum;objektgeschichte[].ort_ereignis#_system_object_id;Ort;objektgeschichte[].unsicher_ort;objektgeschichte[].personen_ereignis[].person_ereignis#_system_object_id;Person/Körperschaft;objektgeschichte[].personen_ereignis[].rolle_ereignis#_system_object_id;Rolle;objektgeschichte[].personen_ereignis[].unsicher;objektgeschichte[].bemerkung_ereignis;objektgeschichte[].ereignis_typ#ubmz_event_id;Ereignistyp;objektgeschichte[].datum_ereignis;objektgeschichte[].datum_normiert_ereignis#from;objektgeschichte[].datum_normiert_ereignis#to;objektgeschichte[].unsicher_datum;objektgeschichte[].ort_ereignis#_system_object_id;Ort;objektgeschichte[].unsicher_ort;objektgeschichte[].personen_ereignis[].person_ereignis#_system_object_id;Person/Körperschaft;objektgeschichte[].personen_ereignis[].rolle_ereignis#_system_object_id;Rolle;objektgeschichte[].personen_ereignis[].unsicher;objektgeschichte[].bemerkung_ereignis;objektgeschichte[].ereignis_typ#ubmz_event_id;Ereignistyp;objektgeschichte[].datum_ereignis;objektgeschichte[].datum_normiert_ereignis#from;objektgeschichte[].datum_normiert_ereignis#to;objektgeschichte[].unsicher_datum;objektgeschichte[].ort_ereignis#_system_object_id;Ort;objektgeschichte[].unsicher_ort;objektgeschichte[].personen_ereignis[].person_ereignis#_system_object_id;Person/Körperschaft;objektgeschichte[].personen_ereignis[].rolle_ereignis#_system_object_id;Rolle;objektgeschichte[].personen_ereignis[].unsicher;objektgeschichte[].bemerkung_ereignis;objektgeschichte[].ereignis_typ#ubmz_event_id;Ereignistyp;objektgeschichte[].datum_ereignis;objektgeschichte[].datum_normiert_ereignis#from;objektgeschichte[].datum_normiert_ereignis#to;objektgeschichte[].unsicher_datum;objektgeschichte[].ort_ereignis#_system_object_id;Ort;objektgeschichte[].unsicher_ort;objektgeschichte[].personen_ereignis[].person_ereignis#_system_object_id;Person/Körperschaft;objektgeschichte[].personen_ereignis[].rolle_ereignis#_system_object_id;Rolle;objektgeschichte[].personen_ereignis[].unsicher;objektgeschichte[].bemerkung_ereignis;
  20143;"Mosaik: Pfau";"ubmz-14";"Herstellung";"1960-1980";"1960";"1980";"0";"";"";"";"19194
";"nicht identifiziert
";"4272
";"Herstellung (durch)
";"0
";"";"ubmz-19";"Objektbewegung";"";"";"";"";"7750
";"Mainz
";"0
";"";"";"";"";"";" Zum Ort: Stammt aus dem Treppenhaus des 2012/3 abgerissenen Gebäudes der Hochschule für Musik (Bingerstr. 24)";"ubmz-30";"Übertragung des Gewahrsams";"2012";"2012";"2012";"0";"";"";"";"";"";"";"";"";"";""
  20147;"Mutter mit Kindern";"ubmz-14";"Herstellung";"1950er";"1950";"1959";"0";"";"";"";"";"";"";"";"";"";"ubmz-19";"Objektbewegung";"";"";"";"";"7750
";"Mainz
";"0
";"";"";"";"";"";"";""
  20149;"Straßenbild";"ubmz-14";"Herstellung";"1950";"1950";"1950";"0";"";"";"";"20148
";"Fuegen, Willy (1907 - 1987)
";"4272
";"Herstellung (durch)
";"0
";"";"ubmz-19";"Objektbewegung";"";"";"";"";"7750
";"Mainz
";"0
";"";"";"";"";"";"";""
  20151;"Lesende Frau";"ubmz-14";"Herstellung";"1950er";"1950";"1959";"0";"";"";"";"20150
";"Krisam, Peter (1901 - 1985)
";"4272
";"Herstellung (durch)
";"0
";"";"ubmz-19";"Objektbewegung";"";"";"";"";"7750
";"Mainz
";"0
";"";"";"";"";"";"";""
  20154;"Stilleben mit Chello";"ubmz-14";"Herstellung";"1946";"1946";"1946";"0";"";"";"";"20152
";"Stark, Gustl (1917 - 2009)
";"4272
";"Herstellung (durch)
";"0
";"";"ubmz-19";"Objektbewegung";"";"";"";"";"7750
";"Mainz
";"0
";"";"";"";"";"";"";""
  20155;"Frauenakt";"ubmz-14";"Herstellung";"";"";"";"";"";"";"";"19194
";"nicht identifiziert
";"4272
";"Herstellung (durch)
";"0
";"";"ubmz-19";"Objektbewegung";"";"";"";"";"7750
";"Mainz
";"0
";"";"";"";"";"";"";""
  20156;"Frau vor Spiegel";"ubmz-14";"Herstellung";"";"";"";"";"";"";"";"19194
";"nicht identifiziert
";"4272
";"Herstellung (durch)
";"0
";"";"ubmz-19";"Objektbewegung";"";"";"";"";"7750
";"Mainz
";"0
";"";"";"";"";"";"";""
  20158;"ohne Titel";"ubmz-14";"Herstellung";"";"";"";"";"";"";"";"19194
";"nicht identifiziert
";"4272
";"Herstellung (durch)
";"0
";"";"ubmz-19";"Objektbewegung";"";"";"";"";"7750
";"Mainz
";"0
";"";"";"";"";"";"";""
  20160;"Interieur";"ubmz-14";"Herstellung";"1948";"1948";"1948";"0";"";"";"";"20159
";"Heß, Reinhard (1904 - 1998)
";"4272
";"Herstellung (durch)
";"0
";"";"ubmz-19";"Objektbewegung";"";"";"";"";"7750
";"Mainz
";"0
";"";"";"";"";"";"";""
  20162;"Landschaftsbild Schalkenmehrener Maar";"ubmz-14";"Herstellung";"1949";"1949";"1949";"0";"";"";"";"20161
";"Kreuzberg, Pitt (1888 - 1966)
";"4272
";"Herstellung (durch)
";"0
";"";"ubmz-19";"Objektbewegung";"";"";"";"";"7750
";"Mainz
";"0
";"";"";"";"";"";"";""
  20164;"Troja";"ubmz-14";"Herstellung";"";"";"";"";"";"";"";"20163
";"Schoormans, Helimar (1925)
";"4272
";"Herstellung (durch)
";"0
";"";"ubmz-19";"Objektbewegung";"";"";"";"";"7750
";"Mainz
";"0
";"";"";"";"";"";"";""
