  38474;"Zeichnung Beschlagwerkornament";"ubmz-14";"Herstellung";"1860er";"1860";"1869";"1";"";"";"";"35154
";"Weiß, Anton (19. Jh.)
";"4272
";"Herstellung (durch)
";"1
";"";""
  38475;"Zeichnung von vier Rocaille-Ornamenten";"ubmz-14";"Herstellung";"";"";"";"";"";"";"";"35154
";"Weiß, Anton (19. Jh.)
";"4272
";"Herstellung (durch)
";"1
";"";""
  38476;"Zeichnung von Beschlagwerkornament";"ubmz-14";"Herstellung";"";"";"";"";"";"";"";"35154
";"Weiß, Anton (19. Jh.)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38477;"florales Ornament";"ubmz-14";"Herstellung";"19. Jahrhundert";"1800";"1899";"0";"";"";"";"";"";"";"";"";"";""
  38478;"Stützelement mit ionischer Kapitellform";"ubmz-14";"Herstellung";"Mitte 19. Jahrhundert";"1840";"1860";"0";"";"";"";"35154
";"Weiß, Anton (19. Jh.)
";"4272
";"Herstellung (durch)
";"1
";"";""
  38479;"florales Ornament";"ubmz-14";"Herstellung";"Mitte 19. Jahrhundert";"1840";"1860";"1";"";"";"";"35154
";"Weiß, Anton (19. Jh.)
";"4272
";"Herstellung (durch)
";"1
";"";""
  38480;"sig. "Erster Entwurf für Hochaltar des Kapuzinerklosters Mainz v. Professor Becker mainz"";"ubmz-14";"Herstellung";"";"";"";"";"";"";"";"35153
";"Becker, Ludwig (1855- 1940)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38481;"St. Ludwinusschrein, kath. Kirche Mettlach";"ubmz-14";"Herstellung";"";"";"";"";"";"";"";"35153
";"Becker, Ludwig (1855- 1940)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38482;"Altarentwurf";"ubmz-14";"Herstellung";"";"";"";"";"";"";"";"35153
";"Becker, Ludwig (1855- 1940)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38483;"Hochaltar kath. Pfarrkirche Mainz-Finthen";""
  38484;"ohne Titel";"ubmz-14";"Herstellung";"1949";"1949";"1949";"0";"";"";"";"34227
";"Scharpf, Rudolf (1919-2014)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38485;"Mappe "Winter kolorierte Radierungen von Werner vom Scheit"";"ubmz-14";"Herstellung";"1936";"1936";"1936";"0";"";"";"";"34225
";"Scheidt, Werner vom (1894-1984)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38486;"Deckblatt: Winter, Radierungen nach der Natur von Werner vom Scheidt";"ubmz-14";"Herstellung";"1936";"1936";"1936";"0";"";"";"";"34225
";"Scheidt, Werner vom (1894-1984)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38487;"o.T. (Vogel im Schnee)";"ubmz-14";"Herstellung";"1936";"1936";"1936";"0";"";"";"";"34225
";"Scheidt, Werner vom (1894-1984)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38488;"o.T. (Grünfink-Gruppe)";"ubmz-14";"Herstellung";"1936";"1936";"1936";"0";"";"";"";"34225
";"Scheidt, Werner vom (1894-1984)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38489;"o.T. (Blaumeise an Zweig)";"ubmz-14";"Herstellung";"1936";"1936";"1936";"0";"";"";"";"34225
";"Scheidt, Werner vom (1894-1984)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38490;"o.T. (Toter Rabe mit Eichenblättern)";"ubmz-14";"Herstellung";"1936";"";"";"0";"";"";"";"34225
";"Scheidt, Werner vom (1894-1984)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38491;"o.T. (Kleiber und Kohlmeise)";"ubmz-14";"Herstellung";"1936";"1936";"1936";"0";"";"";"";"34225
";"Scheidt, Werner vom (1894-1984)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38492;"o.T. (Zwei Spatzen)";"ubmz-14";"Herstellung";"1936";"1936";"1936";"0";"";"";"";"34225
";"Scheidt, Werner vom (1894-1984)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38493;"Ostwind";"ubmz-14";"Herstellung";"um 1948";"1947";"1949";"0";"";"";"";"34226
";"Scheidt, Werner von (1894-1984)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38494;""Erinnerung an München"";"ubmz-14";"Herstellung";"1946";"1945";"1947";"0";"";"";"";"34225
";"Scheidt, Werner vom (1894-1984)
";"4272
";"Herstellung (durch)
";"0
";"";"ubmz-17";"Künstlerische Schöpfung";"";"";"";"";"20384
";"München
";"0
";"";"";"";"";"";"";""
  38495;"Mädchen mit Puppe";"ubmz-14";"Herstellung";"um 1948";"1946";"1950";"0";"";"";"";"39458
";"Lohmar, Heinz
";"4272
";"Herstellung (durch)
";"0
";"";""
  38496;"Apoll und Priamos";"ubmz-14";"Herstellung";"um 1947";"1946";"1948";"0";"";"";"";"39459
";"Rose, Heinz (1902-1971)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38497;"Apoll und Priamos";"ubmz-14";"Herstellung";"um 1947";"1946";"1949";"0";"";"";"";"39459
";"Rose, Heinz (1902-1971)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38498;""Blütenzweig"";""
  38499;"Mädchen";"ubmz-14";"Herstellung";"1949";"1949";"1949";"0";"";"";"";"39460
";"Krieger, Emil (1902-1979)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38500;"Landschaft";"ubmz-14";"Herstellung";"1949";"1949";"1949";"0";"";"";"";"39461
";"Kiesel, Carl Maria (1903-1971)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38501;""Tier"";"ubmz-14";"Herstellung";"1948";"1948";"1948";"0";"";"";"";"34227
";"Scharpf, Rudolf (1919-2014)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38502;"ohne Titel (Landschaft)";"ubmz-14";"Herstellung";"1949";"1949";"1949";"0";"";"";"";"39462
";"Croissant, Hermann (1897-1963)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38503;"2. Landschaft";"ubmz-14";"Herstellung";"1948";"1948";"1948";"0";"";"";"";"39463
";"Schmitt-Groß, Otto (1900-1967)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38504;"ohne Titel (Landschaft)";"ubmz-14";"Herstellung";"1948";"1948";"1948";"0";"";"";"";"39464
";"Klein
";"4272
";"Herstellung (durch)
";"0
";"";""
  38505;"Sternbild";"ubmz-14";"Herstellung";"1948";"1948";"1948";"0";"";"";"";"34224
";"Müller, Johann Georg (1913-1986)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38506;"Kriegsidol";"ubmz-14";"Herstellung";"1948";"1948";"1948";"0";"";"";"";"34224
";"Müller, Johann Georg (1913-1986)
";"4272
";"Herstellung (durch)
";"0
";"";""
  38507;"Männlicher Block";"ubmz-14";"Herstellung";"1948";"1948";"1948";"0";"";"";"";"34224
";"Müller, Johann Georg (1913-1986)
";"4272
";"Herstellung (durch)
";"0
";"";""
